Timestamp,header_stamp_sec,header_stamp_nanosec,header_frame_id,child_frame_id,pose_pose_position_x,pose_pose_position_y,pose_pose_position_z,pose_pose_orientation_x,pose_pose_orientation_y,pose_pose_orientation_z,pose_pose_orientation_w,pose_covariance,twist_twist_linear_x,twist_twist_linear_y,twist_twist_linear_z,twist_twist_angular_x,twist_twist_angular_y,twist_twist_angular_z,twist_covariance
1765492307.731285,2,580000000,odom,base_link,-1.3188223737171996e-19,3.690991531829343e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,2.1635146844227185e-20,-2.7562832998669843e-41,0.0,0.0,0.0,1.5385372372979118e-19,<array len=36>
1765492307.752075,2,601000000,odom,base_link,-1.1794494437623587e-19,3.183483712689713e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,1.8083810949770838e-19,-3.315454946565306e-41,0.0,0.0,0.0,1.6730231876784545e-19,<array len=36>
1765492307.7732086,2,622000000,odom,base_link,-1.0528503308719999e-19,2.7450386809615454e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,3.466668337597562e-19,-3.329208858954193e-41,0.0,0.0,0.0,1.649427262224701e-19,<array len=36>
1765492307.7913628,2,643000000,odom,base_link,-9.200423065083993e-20,2.2799017815939803e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,4.855882169898529e-19,-3.444240025695587e-41,0.0,0.0,0.0,1.3969992356715833e-19,<array len=36>
1765492307.812499,2,664000000,odom,base_link,-9.484768637328741e-20,2.441878374580996e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,4.538950585682088e-19,-1.0706008181702619e-41,0.0,0.0,0.0,9.307777079663243e-20,<array len=36>
1765492307.8339658,2,685000000,odom,base_link,-1.1834996931859456e-19,3.345041791713824e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,1.4891149712519e-19,2.9727466695756494e-41,0.0,0.0,0.0,1.156529374302587e-19,<array len=36>
1765492307.8519528,2,706000000,odom,base_link,-1.4388810159999088e-19,4.227450803423704e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,-1.5781078583622444e-19,4.894613429426861e-41,0.0,0.0,0.0,1.507534440485882e-19,<array len=36>
1765492307.8732584,2,727000000,odom,base_link,-1.7781504190208978e-19,5.338876467673501e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,-5.252221560055384e-19,6.745085590407384e-41,0.0,0.0,0.0,2.1654169139610252e-19,<array len=36>
1765492307.894416,2,748000000,odom,base_link,-2.125194785975492e-19,6.405165555449238e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,-9.113887258023813e-19,7.502707259890371e-41,0.0,0.0,0.0,3.1657916614987068e-19,<array len=36>
1765492307.9126482,2,769000000,odom,base_link,-2.3170769430001783e-19,6.405324648242899e-38,0.0,0.0,0.0,0.0,1.0,<array len=36>,-9.16060388718441e-19,7.648987374567158e-41,0.0,0.0,0.0,3.1657916614987068e-19,<array len=36>
